# trials	hero1	hero2	deck_remaining	elapsed_ms	win_pct	tie_pct	lose_pct	trials_per_s
20000	Ts	Ks	50	795.716	60.29	2.26	37.45	25134.6
20000	7c	5d	48	807.315	37.21	6.02	56.77	24773.5
20000	Jc	Kd	46	805.29	59.4	2.3	38.3	24835.8
20000	Th	Td	44	833.12	74.44	0.715	24.845	24006.2
20000	Ac	2s	42	805.248	53.32	3.965	42.715	24837.1
20000	9c	8s	40	804.325	46.025	4.34	49.635	24865.6
20000	Jd	4c	38	805.133	43.925	4.515	51.56	24840.6
20000	6h	5s	36	808.221	37.115	6.085	56.8	24745.7
20000	4d	2h	34	806.264	30.125	6.22	63.655	24805.8
20000	2c	9d	32	804.387	36.54	5.245	58.215	24863.7
20000	3c	6d	30	803.15	33.14	6.06	60.8	24901.9
20000	6d	3c	50	810.58	32.565	6.095	61.34	24673.7
20000	6c	Td	50	810.635	44.165	4.33	51.505	24672
20000	3c	4d	50	810.227	31.85	6.075	62.075	24684.4
20000	Js	Qd	50	815.383	56.965	2.37	40.665	24528.3
20000	5d	5h	50	840.371	59.665	1.495	38.84	23799
20000	Ts	6h	50	814.114	43.615	4.465	51.92	24566.6
20000	9c	7c	50	808.219	46.825	4.51	48.665	24745.8
20000	As	4s	50	814.435	57.39	3.68	38.93	24556.9
20000	3d	Kd	50	814.127	51.6	3.905	44.495	24566.2

# yates implementation

20000	4c	Kh	50	738.984	49.805	4.29	45.905	27064.2
20000	6d	Qc	50	737.861	49.365	3.965	46.67	27105.4
20000	Qd	2h	50	745.312	45.09	4.34	50.57	26834.4
20000	5c	Jc	50	743.53	47.55	4.47	47.98	26898.7
20000	9c	5s	50	736.781	40.38	5.155	54.465	27145.1
20000	6h	Jd	50	737.763	45.15	4.195	50.655	27109
20000	Jd	Ts	50	739.722	53.375	2.84	43.785	27037.2
20000	6d	Td	50	737.337	46.83	4.57	48.6	27124.6
20000	2c	5h	50	732.761	31.39	6.115	62.495	27294
20000	7c	3h	50	728.834	33.48	5.995	60.525	27441.1
20000	As	Qs	50	738.671	64.785	1.73	33.485	27075.7
20000	Ks	4d	50	742.616	49.975	4.39	45.635	26931.8
20000	8d	7h	50	737.805	43.015	5.025	51.96	27107.4
20000	7h	5s	50	739.772	37.515	5.515	56.97	27035.4
20000	8d	Td	50	738.266	50.695	3.68	45.625	27090.5
20000	3h	Jd	50	728.357	42.235	4.735	53.03	27459.1
20000	7s	4h	50	738.595	35.475	5.71	58.815	27078.4
20000	Qc	Qd	50	765.669	79.395	0.715	19.89	26120.9
20000	Kd	3h	50	741.189	49.34	4.08	46.58	26983.7
20000	Qd	Ah	50	735.499	63.865	1.945	34.19	27192.4
20000	Jc	3d	50	739.938	42.975	4.64	52.385	27029.3
20000	5s	Ad	50	740.981	55.495	3.965	40.54	26991.3
20000	6s	5h	50	740.178	36.83	5.815	57.355	27020.5
